time,car_id,position,velocity,lane,distance,crashes
76, 0, 152.000000, 1.000000, 1, 152.000000, 0
76, 1, 202.000000, 1.000000, 1, 152.000000, 0
77, 0, 154.000000, 1.000000, 1, 154.000000, 0
77, 1, 204.000000, 1.000000, 1, 154.000000, 0
78, 0, 156.000000, 1.000000, 1, 156.000000, 0
78, 1, 206.000000, 1.000000, 1, 156.000000, 0
79, 0, 158.000000, 1.000000, 1, 158.000000, 0
79, 1, 208.000000, 1.000000, 1, 158.000000, 0
80, 0, 160.000000, 1.000000, 1, 160.000000, 0
80, 1, 210.000000, 1.000000, 1, 160.000000, 0
81, 0, 162.000000, 1.000000, 1, 162.000000, 0
81, 1, 212.000000, 1.000000, 1, 162.000000, 0
82, 0, 164.000000, 1.000000, 1, 164.000000, 0
82, 1, 214.000000, 1.000000, 1, 164.000000, 0
83, 0, 166.000000, 1.000000, 1, 166.000000, 0
83, 1, 216.000000, 1.000000, 1, 166.000000, 0
84, 0, 168.000000, 1.000000, 1, 168.000000, 0
84, 1, 218.000000, 1.000000, 1, 168.000000, 0
85, 0, 170.000000, 1.000000, 1, 170.000000, 0
85, 1, 220.000000, 1.000000, 1, 170.000000, 0
86, 0, 172.000000, 1.000000, 1, 172.000000, 0
86, 1, 222.000000, 1.000000, 1, 172.000000, 0
87, 0, 174.000000, 1.000000, 1, 174.000000, 0
87, 1, 224.000000, 1.000000, 1, 174.000000, 0
88, 0, 176.000000, 1.000000, 1, 176.000000, 0
88, 1, 226.000000, 1.000000, 1, 176.000000, 0
89, 0, 178.000000, 1.000000, 1, 178.000000, 0
89, 1, 228.000000, 1.000000, 1, 178.000000, 0
90, 0, 180.000000, 1.000000, 1, 180.000000, 0
90, 1, 230.000000, 1.000000, 1, 180.000000, 0
91, 0, 182.000000, 1.000000, 1, 182.000000, 0
91, 1, 232.000000, 1.000000, 1, 182.000000, 0
92, 0, 184.000000, 1.000000, 1, 184.000000, 0
92, 1, 234.000000, 1.000000, 1, 184.000000, 0
93, 0, 186.000000, 1.000000, 1, 186.000000, 0
93, 1, 236.000000, 1.000000, 1, 186.000000, 0
94, 0, 188.000000, 1.000000, 1, 188.000000, 0
94, 1, 238.000000, 1.000000, 1, 188.000000, 0
95, 0, 190.000000, 1.000000, 1, 190.000000, 0
95, 1, 240.000000, 1.000000, 1, 190.000000, 0
96, 0, 192.000000, 1.000000, 1, 192.000000, 0
96, 1, 242.000000, 1.000000, 1, 192.000000, 0
97, 0, 194.000000, 1.000000, 1, 194.000000, 0
97, 1, 244.000000, 1.000000, 1, 194.000000, 0
98, 0, 196.000000, 1.000000, 1, 196.000000, 0
98, 1, 246.000000, 1.000000, 1, 196.000000, 0
99, 0, 198.000000, 1.000000, 1, 198.000000, 0
99, 1, 248.000000, 1.000000, 1, 198.000000, 0
100, 0, 200.000000, 1.000000, 1, 200.000000, 0
100, 1, 250.000000, 1.000000, 1, 200.000000, 0
101, 0, 202.000000, 1.000000, 1, 202.000000, 0
101, 1, 252.000000, 1.000000, 1, 202.000000, 0
102, 0, 204.000000, 1.000000, 1, 204.000000, 0
102, 1, 254.000000, 1.000000, 1, 204.000000, 0
103, 0, 206.000000, 1.000000, 1, 206.000000, 0
103, 1, 256.000000, 1.000000, 1, 206.000000, 0
104, 0, 208.000000, 1.000000, 1, 208.000000, 0
104, 1, 258.000000, 1.000000, 1, 208.000000, 0
105, 0, 210.000000, 1.000000, 1, 210.000000, 0
105, 1, 260.000000, 1.000000, 1, 210.000000, 0
106, 0, 212.000000, 1.000000, 1, 212.000000, 0
106, 1, 262.000000, 1.000000, 1, 212.000000, 0
107, 0, 214.000000, 1.000000, 1, 214.000000, 0
107, 1, 264.000000, 1.000000, 1, 214.000000, 0
108, 0, 216.000000, 1.000000, 1, 216.000000, 0
108, 1, 266.000000, 1.000000, 1, 216.000000, 0
109, 0, 218.000000, 1.000000, 1, 218.000000, 0
109, 1, 268.000000, 1.000000, 1, 218.000000, 0
110, 0, 220.000000, 1.000000, 1, 220.000000, 0
110, 1, 270.000000, 1.000000, 1, 220.000000, 0
111, 0, 222.000000, 1.000000, 1, 222.000000, 0
111, 1, 272.000000, 1.000000, 1, 222.000000, 0
112, 0, 224.000000, 1.000000, 1, 224.000000, 0
112, 1, 274.000000, 1.000000, 1, 224.000000, 0
